path,slug,title,date,expiryDate,publishDate,draft,permalink,kind,section
content/posts/2026-04-24-blog-from-typecho-to-hugo.md,,博客从tyoecho转到了hugo,2026-04-24T15:47:00+08:00,0001-01-01T00:00:00Z,2026-04-24T15:47:00+08:00,false,https://www.pgoj.top/archives/blog-from-typecho-to-hugo.html,page,posts
content/posts/2026-04-23-weixindushushubi.md,weixindushushubi,"世界读书日,微信读书赠免费书币",2026-04-23T00:00:00Z,0001-01-01T00:00:00Z,2026-04-23T00:00:00Z,false,https://www.pgoj.top/archives/weixindushushubi.html,page,posts
content/posts/2026-04-22-shuashipinlahei.md,shuashipinlahei,说话是你的权利，拉黑是我的自由,2026-04-22T00:00:00Z,0001-01-01T00:00:00Z,2026-04-22T00:00:00Z,false,https://www.pgoj.top/archives/shuashipinlahei.html,page,posts
content/posts/2026-04-21-360tushuguan.md,360tushuguan,下载了360doc个人图书馆的图文,2026-04-21T00:00:00Z,0001-01-01T00:00:00Z,2026-04-21T00:00:00Z,false,https://www.pgoj.top/archives/360tushuguan.html,page,posts
content/posts/2026-04-20-jinyinanyanlianke.md,jinyinanyanlianke,吃糖的女人与弃糖的孩子,2026-04-20T00:00:00Z,0001-01-01T00:00:00Z,2026-04-20T00:00:00Z,false,https://www.pgoj.top/archives/jinyinanyanlianke.html,page,posts
content/posts/2026-04-19-laotaitaisongkua.md,laotaitaisongkua,老太太棉裤腰般的松垮,2026-04-19T00:00:00Z,0001-01-01T00:00:00Z,2026-04-19T00:00:00Z,false,https://www.pgoj.top/archives/laotaitaisongkua.html,page,posts
content/posts/2026-04-17-shuxuelaoshisxs.md,shuxuelaoshisxs,数学老师不讲发现√2的意义,2026-04-17T00:00:00Z,0001-01-01T00:00:00Z,2026-04-17T00:00:00Z,false,https://www.pgoj.top/archives/shuxuelaoshisxs.html,page,posts
content/posts/2026-04-15-jiaqianqianshanshida.md,jiaqianqianshanshida,吹皱一池春水还是搅得周天寒彻,2026-04-15T00:00:00Z,0001-01-01T00:00:00Z,2026-04-15T00:00:00Z,false,https://www.pgoj.top/archives/jiaqianqianshanshida.html,page,posts
content/posts/2026-04-14-wailianpinglun.md,wailianpinglun,主题增加了外链跳转，重写了评论区,2026-04-14T00:00:00Z,0001-01-01T00:00:00Z,2026-04-14T00:00:00Z,false,https://www.pgoj.top/archives/wailianpinglun.html,page,posts
content/posts/2026-04-12-dulibokeAI.md,dulibokeAI,独立博客展现博主自我还是AI塑造,2026-04-12T00:00:00Z,0001-01-01T00:00:00Z,2026-04-12T00:00:00Z,false,https://www.pgoj.top/archives/dulibokeAI.html,page,posts
content/posts/2026-04-11-wangkuishanouran.md,wangkuishanouran,偶然之下的必然，必然之下的偶然,2026-04-11T00:00:00Z,0001-01-01T00:00:00Z,2026-04-11T00:00:00Z,false,https://www.pgoj.top/archives/wangkuishanouran.html,page,posts
content/posts/2026-04-10-jiaoyulaoguo.md,jiaoyulaoguo,教育让我想起老郭的‘我就是个裤衩’,2026-04-10T00:00:00Z,0001-01-01T00:00:00Z,2026-04-10T00:00:00Z,false,https://www.pgoj.top/archives/jiaoyulaoguo.html,page,posts
content/posts/2026-04-09-weibodingyue.md,weibodingyue,实现友链订阅与微博功能调整,2026-04-09T00:00:00Z,0001-01-01T00:00:00Z,2026-04-09T00:00:00Z,false,https://www.pgoj.top/archives/weibodingyue.html,page,posts
content/posts/2026-04-08-wulihuashiyan.md,wulihuashiyan,初高中物理化学生物实验的变迁,2026-04-08T00:00:00Z,0001-01-01T00:00:00Z,2026-04-08T00:00:00Z,false,https://www.pgoj.top/archives/wulihuashiyan.html,page,posts
content/posts/2026-04-07-jiapingwachenmo.md,jiapingwachenmo,沉默不是贾平凹和贾浅浅最好的选择,2026-04-07T00:00:00Z,0001-01-01T00:00:00Z,2026-04-07T00:00:00Z,false,https://www.pgoj.top/archives/jiapingwachenmo.html,page,posts
content/posts/2026-04-06-songqinghuiweidongyi.md,songqinghuiweidongyi,不知所谓的宋清辉硬蹭韦东奕,2026-04-06T00:00:00Z,0001-01-01T00:00:00Z,2026-04-06T00:00:00Z,false,https://www.pgoj.top/archives/songqinghuiweidongyi.html,page,posts
content/posts/2026-04-06-gaotiedushu.md,gaotiedushu,坐高铁读书是发达，我先前比他们阔,2026-04-06T00:00:00Z,0001-01-01T00:00:00Z,2026-04-06T00:00:00Z,false,https://www.pgoj.top/archives/gaotiedushu.html,page,posts
content/posts/2026-04-05-cuijianyaogunxinchangzheng.md,cuijianyaogunxinchangzheng,手机铃声依然是《新长征路上的摇滚》,2026-04-05T00:00:00Z,0001-01-01T00:00:00Z,2026-04-05T00:00:00Z,false,https://www.pgoj.top/archives/cuijianyaogunxinchangzheng.html,page,posts
content/posts/2026-04-04-buheshiyideren.md,buheshiyideren,罪恶之链的终结与延续,2026-04-04T00:00:00Z,0001-01-01T00:00:00Z,2026-04-04T00:00:00Z,false,https://www.pgoj.top/archives/buheshiyideren.html,page,posts
content/posts/2026-04-03-diandongchetoukui.md,diandongchetoukui,为骑电动车带不带头盔打嘴仗,2026-04-03T00:00:00Z,0001-01-01T00:00:00Z,2026-04-03T00:00:00Z,false,https://www.pgoj.top/archives/diandongchetoukui.html,page,posts
content/posts/2026-04-02-shuxuepaogenwendi.md,shuxuepaogenwendi,刨根问底啥？Just remember！,2026-04-02T00:00:00Z,0001-01-01T00:00:00Z,2026-04-02T00:00:00Z,false,https://www.pgoj.top/archives/shuxuepaogenwendi.html,page,posts
content/posts/2026-04-01-jiayoukaosheng.md,jiayoukaosheng,或许家有考生的日子都差不多,2026-04-01T00:00:00Z,0001-01-01T00:00:00Z,2026-04-01T00:00:00Z,false,https://www.pgoj.top/archives/jiayoukaosheng.html,page,posts
content/posts/2026-03-31-qiyinlinglei.md,qiyinlinglei,《中国古代奇淫技巧》与《西方文明的另类历史》,2026-03-31T00:00:00Z,0001-01-01T00:00:00Z,2026-03-31T00:00:00Z,false,https://www.pgoj.top/archives/qiyinlinglei.html,page,posts
content/posts/2026-03-30-yanglireyi.md,yanglireyi,汝之佳肴彼之毒药的杨笠,2026-03-30T00:00:00Z,0001-01-01T00:00:00Z,2026-03-30T00:00:00Z,false,https://www.pgoj.top/archives/yanglireyi.html,page,posts
content/posts/2026-03-29-xueshengxiyan.md,xueshengxiyan,我觉得我们更该关注学生吸烟现象,2026-03-29T00:00:00Z,0001-01-01T00:00:00Z,2026-03-29T00:00:00Z,false,https://www.pgoj.top/archives/xueshengxiyan.html,page,posts
content/posts/2026-03-28-laojiagaizao.md,laojiagaizao,老家的局部改造终于开始了,2026-03-28T00:00:00Z,0001-01-01T00:00:00Z,2026-03-28T00:00:00Z,false,https://www.pgoj.top/archives/laojiagaizao.html,page,posts
content/posts/2026-03-26-liuliangchenghuangbo.md,liuliangchenghuangbo,《我改变的事物》让我想起《杀生》,2026-03-26T00:00:00Z,0001-01-01T00:00:00Z,2026-03-26T00:00:00Z,false,https://www.pgoj.top/archives/liuliangchenghuangbo.html,page,posts
content/posts/2026-03-24-chuanyuexiaoshuo.md,chuanyuexiaoshuo,穿越不过是心中的妄念罢了,2026-03-24T00:00:00Z,0001-01-01T00:00:00Z,2026-03-24T00:00:00Z,false,https://www.pgoj.top/archives/chuanyuexiaoshuo.html,page,posts
content/posts/2026-03-23-kuaishou-zero-yuan-shopping.md,kuaishou-zero-yuan-shopping,第一次用快手差点弄成零元购,2026-03-23T00:00:00Z,0001-01-01T00:00:00Z,2026-03-23T00:00:00Z,false,https://www.pgoj.top/archives/kuaishou-zero-yuan-shopping.html,page,posts
content/posts/2026-03-21-high-quality-human-nonsense.md,high-quality-human-nonsense,西装革履者的蝗虫不吃庄稼,2026-03-21T00:00:00Z,0001-01-01T00:00:00Z,2026-03-21T00:00:00Z,false,https://www.pgoj.top/archives/high-quality-human-nonsense.html,page,posts
content/posts/2026-03-20-loose-bones.md,loose-bones,安静的孩子疏松的骨头,2026-03-20T00:00:00Z,0001-01-01T00:00:00Z,2026-03-20T00:00:00Z,false,https://www.pgoj.top/archives/loose-bones.html,page,posts
